Id,StudentId,CompetencyLevelId,MasteryPoints,AchievedDate,ModuleId,SubmissionId
1,300000,1,7,28/03/2024 13:00:00,441101,1
2,300000,3,7,28/03/2024 13:00:00,441101,1
3,300000,5,7,28/03/2024 13:00:00,441101,1
4,300000,1,7,20/01/2024 16:30:00,441101,2
5,300000,3,7,20/01/2024 16:30:00,441101,2
6,300000,5,7,20/01/2024 16:30:00,441101,2
7,300000,1,7,29/05/2024 13:00:00,441101,3
8,300000,3,7,29/05/2024 13:00:00,441101,3
9,300000,5,7,29/05/2024 13:00:00,441101,3
10,300000,1,7,23/11/2023 13:00:00,441105,4
11,300000,4,7,23/11/2023 13:00:00,441105,4
12,300000,5,7,23/11/2023 13:00:00,441105,4
13,300000,1,7,16/01/2024 12:00:00,441105,5
14,300000,4,7,16/01/2024 12:00:00,441105,5
15,300000,2,7,21/12/2023 13:00:00,441108,6
16,300000,8,7,21/12/2023 13:00:00,441108,6
17,300000,7,7,21/12/2023 13:00:00,441108,7
18,300000,4,7,16/05/2024 13:00:00,441104,8
19,300000,2,7,23/11/2023 13:00:00,441102,9
20,300000,6,7,23/11/2023 13:00:00,441102,9
21,300000,2,7,16/01/2024 13:00:00,441102,10
22,300000,6,7,16/01/2024 13:00:00,441102,10
23,300000,9,7,04/12/2024 13:00:00,551462,11
24,300000,11,7,04/12/2024 13:00:00,551462,11
25,300000,19,7,04/12/2024 13:00:00,551462,11
26,300000,9,7,15/05/2025 13:00:00,551462,12
27,300000,10,7,15/05/2025 13:00:00,551462,12
28,300000,11,7,15/05/2025 13:00:00,551462,12
29,300000,15,7,15/05/2025 13:00:00,551462,12
30,300000,16,7,15/05/2025 13:00:00,551462,12
31,300000,19,7,15/05/2025 13:00:00,551462,12
32,300000,11,7,14/01/2025 13:00:00,551458,13
33,300000,13,7,14/01/2025 13:00:00,551458,13
34,300000,17,7,14/01/2025 13:00:00,551458,13
35,300000,18,7,14/01/2025 13:00:00,551458,13
36,300000,11,7,27/11/2024 13:00:00,551457,14
37,300000,14,7,27/11/2024 13:00:00,551457,14
38,300000,19,7,27/11/2024 13:00:00,551457,14
39,300000,12,7,20/01/2025 16:30:00,551457,15
40,300000,17,7,20/01/2025 16:30:00,551457,15
41,300000,9,7,08/05/2025 13:00:00,551460,16
42,300000,14,7,08/05/2025 13:00:00,551460,16
43,300000,11,7,28/05/2025 13:00:00,500083,17
44,300000,13,7,28/05/2025 13:00:00,500083,17
45,300000,22,7,30/04/2026 10:00:00,600091,18
46,300000,23,7,30/04/2026 10:00:00,600091,18
47,300000,24,7,30/04/2026 10:00:00,600091,18
48,300000,26,7,30/04/2026 10:00:00,600091,18
49,300000,27,7,30/04/2026 10:00:00,600091,18
50,300000,28,7,30/04/2026 10:00:00,600091,18
51,300000,22,7,03/12/2026 10:00:00,661982,19
52,300000,23,7,03/12/2026 10:00:00,661982,19
53,300000,24,7,03/12/2026 10:00:00,661982,19
54,300000,24,7,15/01/2026 12:00:00,661982,20
55,300000,25,7,15/01/2026 12:00:00,661982,20
56,300000,25,7,18/12/2025 12:00:00,662085,21
57,300000,26,7,18/12/2025 12:00:00,662085,21
58,300000,24,7,18/05/2026 12:00:00,661985,22
59,300000,25,7,18/05/2026 12:00:00,661985,22
60,300000,26,7,18/05/2026 12:00:00,661985,22
61,300000,29,7,18/05/2026 12:00:00,661985,22
62,300000,24,7,06/05/2026 12:00:00,600089,23
63,300000,25,7,06/05/2026 12:00:00,600089,23
64,300000,26,7,06/05/2026 12:00:00,600089,23
65,300000,27,7,06/05/2026 12:00:00,600089,23
66,300000,32,7,06/05/2026 12:00:00,600089,23
67,300000,29,7,06/05/2026 12:00:00,600089,23
68,300000,25,7,12/05/2026 11:00:00,600089,24
69,300000,26,7,12/05/2026 11:00:00,600089,24
70,300000,27,7,12/05/2026 11:00:00,600089,24
71,300000,32,7,12/05/2026 11:00:00,600089,24
72,300000,29,7,12/05/2026 11:00:00,600089,24
